# frame,label,area,ctrd_x,ctrd_y,maj_axis,min_axis,eccentricity,orientation
   0.00000,   1.00000, 482.00000, 159.52282, 815.79253,  28.94790,  21.28902,   0.67761,   0.33571
   0.00000,   2.00000, 508.00000, 132.84449, 173.26181,  27.59832,  23.60032,   0.51840,  -0.24100
   0.00000,   3.00000, 493.00000, 181.76065, 992.91075,  27.54586,  23.04812,   0.54763,  -0.35431
   0.00000,   4.00000, 560.00000, 203.99286, 260.17321,  28.47449,  25.14660,   0.46913,  -0.51103
   0.00000,   5.00000, 607.00000,  83.94234,1064.92916,  29.20944,  26.51362,   0.41960,  -0.36837
   0.00000,   6.00000, 560.00000,  68.38214, 928.50179,  29.41127,  24.52196,   0.55213,   0.11017
   0.00000,   7.00000, 489.00000,  72.89571,  47.40695,  27.45242,  22.70444,   0.56213,   0.55444
   0.00000,   8.00000, 554.00000,  89.88628, 291.83935,  28.76502,  24.55607,   0.52080,   0.37826
   0.00000,   9.00000, 500.00000, 206.00400, 202.01000,  27.34298,  23.48734,   0.51199,  -1.44876
   0.00000,  10.00000, 533.00000, 155.56285, 434.58349,  29.67162,  22.95942,   0.63345,  -0.01071
   0.00000,  11.00000, 491.00000, 157.51120,1088.86151,  28.06773,  22.45810,   0.59981,  -0.15483
   0.00000,  12.00000, 469.00000,  69.93177, 598.04904,  27.41469,  21.82890,   0.60497,  -0.14418
   0.00000,  13.00000, 459.00000, 126.48802, 366.61656,  27.53777,  21.35346,   0.63144,   0.54144
   0.00000,  14.00000, 551.00000, 101.71325, 915.76770,  30.20395,  23.31906,   0.63556,  -0.63407
   0.00000,  15.00000, 502.00000, 163.47410, 981.15339,  30.27082,  21.34948,   0.70893,  -0.37643
   0.00000,  16.00000, 624.00000,  93.63942, 769.38141,  29.98687,  26.60529,   0.46132,  -0.48617
   0.00000,  17.00000, 562.00000,  54.31139, 960.43772,  27.83456,  25.72634,   0.38177,   1.07513
   0.00000,  18.00000, 570.00000, 152.33333, 735.29298,  31.45376,  23.21617,   0.67469,   0.34042
   0.00000,  19.00000, 520.00000,  63.02500,1144.76731,  28.72376,  23.07662,   0.59544,  -0.03178
